iter	Passed	Remaining
752	6664	2186
753	6673	2177
754	6681	2168
755	6690	2159
756	6699	2150
757	6708	2141
758	6716	2132
759	6726	2124
760	6734	2114
761	6744	2106
762	6752	2097
763	6760	2088
764	6768	2079
765	6776	2070
766	6782	2060
767	6793	2052
768	6802	2043
769	6810	2034
770	6818	2025
771	6827	2016
772	6835	2007
773	6843	1998
774	6851	1989
775	6858	1979
776	6867	1971
777	6875	1961
778	6884	1953
779	6892	1944
780	6900	1934
781	6908	1925
782	6917	1917
783	6925	1907
784	6934	1899
785	6942	1890
786	6950	1881
787	6958	1871
788	6966	1863
789	6973	1853
790	6981	1844
791	6989	1835
792	6997	1826
793	7005	1817
794	7013	1808
795	7020	1799
796	7026	1789
797	7034	1780
798	7041	1771
799	7049	1762
800	7056	1753
801	7064	1744
802	7071	1734
803	7079	1725
804	7087	1716
805	7094	1707
806	7102	1698
807	7110	1689
808	7117	1680
809	7124	1671
810	7132	1662
811	7139	1652
812	7148	1644
813	7155	1634
814	7163	1626
815	7171	1617
816	7180	1608
817	7188	1599
818	7199	1590
819	7206	1581
820	7216	1573
821	7225	1564
822	7233	1555
823	7242	1546
824	7251	1538
825	7259	1529
826	7268	1520
827	7278	1511
828	7286	1502
829	7296	1494
830	7304	1485
831	7312	1476
832	7320	1467
833	7329	1458
834	7337	1449
835	7346	1441
836	7354	1432
837	7362	1423
838	7370	1414
839	7377	1405
840	7386	1396
841	7394	1387
842	7403	1378
843	7411	1369
844	7419	1360
845	7427	1352
846	7435	1343
847	7443	1334
848	7452	1325
849	7459	1316
850	7467	1307
851	7475	1298
852	7483	1289
853	7491	1280
854	7501	1272
855	7508	1263
856	7517	1254
857	7524	1245
858	7533	1236
859	7541	1227
860	7550	1218
861	7558	1210
862	7566	1201
863	7574	1192
864	7583	1183
865	7592	1174
866	7600	1165
867	7608	1157
868	7616	1148
869	7625	1139
870	7633	1130
871	7641	1121
872	7651	1113
873	7658	1104
874	7668	1095
875	7675	1086
876	7685	1077
877	7692	1068
878	7702	1060
879	7709	1051
880	7719	1042
881	7727	1033
882	7736	1025
883	7746	1016
884	7753	1007
885	7762	998
886	7771	990
887	7781	981
888	7790	972
889	7799	964
890	7807	955
891	7816	946
892	7824	937
893	7833	928
894	7842	920
895	7850	911
896	7858	902
897	7866	893
898	7875	884
899	7884	876
900	7892	867
901	7901	858
902	7911	849
903	7918	840
904	7927	832
905	7934	823
906	7943	814
907	7951	805
908	7959	796
909	7967	787
910	7976	779
911	7984	770
912	7994	761
913	8002	752
914	8011	744
915	8018	735
916	8028	726
917	8035	717
918	8043	708
919	8051	700
920	8059	691
921	8066	682
922	8073	673
923	8080	664
924	8088	655
925	8095	646
926	8103	638
927	8111	629
928	8119	620
929	8126	611
930	8134	602
931	8141	594
932	8149	585
933	8156	576
934	8163	567
935	8170	558
936	8177	549
937	8185	541
938	8192	532
939	8201	523
940	8208	514
941	8215	505
942	8222	496
943	8229	488
944	8236	479
945	8243	470
946	8251	461
947	8258	452
948	8266	444
949	8273	435
950	8281	426
951	8288	417
952	8296	409
953	8303	400
954	8311	391
955	8319	382
956	8327	374
957	8335	365
958	8344	356
959	8351	347
960	8359	339
961	8366	330
962	8374	321
963	8382	313
964	8390	304
965	8400	295
966	8408	286
967	8416	278
968	8425	269
969	8432	260
970	8440	252
971	8448	243
972	8458	234
973	8465	225
974	8475	217
975	8483	208
976	8491	199
977	8499	191
978	8508	182
979	8515	173
980	8524	165
981	8532	156
982	8541	147
983	8549	139
984	8557	130
985	8565	121
986	8574	112
987	8581	104
988	8591	95
989	8599	86
990	8608	78
991	8616	69
992	8625	60
993	8632	52
994	8642	43
995	8649	34
996	8658	26
997	8665	17
998	8675	8
999	8682	0
